CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,BENCHTOPS,BUTLERS PANTRY,20mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,20mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,40mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,40mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,UPGRADE TO SPECIALTY STONE FEATURE,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,20mm WATERFALL ENDS,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,40mm WATERFALL ENDS,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,MICROWAVE UNDERBENCH CUPBOARD - STD COLOUR BOARD,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,5 SHELF MELAMINE OPEN SHELVES CLEATED,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,WALL OVEN TOWER,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,ADD FOR 300mm CRAFTWOOD BULKHEADS,LM,,,
,,,,,,,
,,LAUNDRY,,,,,
,CABINET MAKER,LAUNDRY,BASE CABINETS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,LAUNDRY,BASE CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,LAUNDRY,BASE CABINETS - SHAKER STYLE,LM,,,
,CABINET MAKER,LAUNDRY,ISLAND BENCH BACK PANELS,LM,,,
,CABINET MAKER,LAUNDRY,OVERHEAD CUPBOARDS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,LAUNDRY,OVERHEAD CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,LAUNDRY,OVERHEAD CABINETS - SHAKER STYLE,LM,,,
,LAUNDRY,LAUNDRY,LAUNDRY BROOM CLOSET 900mm - STD COLOUR BOARD,ITEM,,"$1,800.00","$1,800.00"
,LAUNDRY,LAUNDRY,LAUNDRY BROOM CLOSET 1200mm - STD COLOUR BOARD,ITEM,,"$2,200.00","$2,200.00"
,BENCHTOPS,BUTLERS PANTRY,BUILDERS RANGE LAMINATE BENCHTOPS ,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,20mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,20mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,40mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BUTLERS PANTRY,40mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,,,,,,,
,,BATHROOMS,,,,,
,CABINET MAKER,BATHROOMS,BASE CABINETS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,BATHROOMS,BASE CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,BATHROOMS,BASE CABINETS - SHAKER STYLE,LM,,,
,BENCHTOPS,BATHROOMS,BUILDERS RANGE LAMINATE BENCHTOPS ,ITEM,,,
,BENCHTOPS,BATHROOMS,20mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BATHROOMS,20mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,BENCHTOPS,BATHROOMS,40mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,BATHROOMS,40mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,,,,,,,
,,,,,,,
,,ENSUITE,,,,,
,CABINET MAKER,ENSUITE,BASE CABINETS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,ENSUITE,BASE CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,ENSUITE,BASE CABINETS - SHAKER STYLE,LM,,,
,BENCHTOPS,ENSUITE,BUILDERS RANGE LAMINATE BENCHTOPS ,ITEM,,,
,BENCHTOPS,ENSUITE,20mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,ENSUITE,20mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,BENCHTOPS,ENSUITE,40mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,ENSUITE,40mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,,,,,,,
,,,,,,,
CODE,APPLIANCES,EUROMAID,ITEM,UNIT,QTY,RATE,TOTAL
,EUROMAID,EUROMAID,- EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,,500,500
,EUROMAID,EUROMAID,- EUROMAID 60CM CERAMIC COOKTOP KCS4,EACH,,336,336
,EUROMAID,EUROMAID,- EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,,249,249
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,1684,1684
,EUROMAID,EUROMAID,- EUROMAID 60CM 5 FUNCTION BUILT-IN OVEN EO605DTB,EACH,,500,500
,EUROMAID,EUROMAID,- EUROMAID 60CM GAS COOKTOP WK60S,EACH,,250,250
,EUROMAID,EUROMAID,- EUROMAID 60CM SLIDE OUT RANGEHOOD RS6S,EACH,,249,249
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,1598,1598
,EUROMAID,EUROMAID,EUROMAID 600MM CANOPY RANGEHOOD OPTION - EUROMAID 60CM PYRAMID CANOPY RANGEHOOD CPT6S,EACH,,379,379
,EUROMAID,EUROMAID,EUROMAID 600MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 60CM RECIRCULATING/FIXED RANGEHOOD CS60S,EACH,,112,112
,EUROMAID,EUROMAID,- EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,,1199,1199
,EUROMAID,EUROMAID,- EUROMAID 90CM CERAMIC COOKTOP ECCK900,EACH,,899,899
,EUROMAID,EUROMAID,- EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,,399,399
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,3096,3096
,EUROMAID,EUROMAID,- EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,,1199,1199
,EUROMAID,EUROMAID,- EUROMAID 90CM GAS COOKTOP GC90S,EACH,,599,599
,EUROMAID,EUROMAID,- EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,,399,399
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,2796,2796
,EUROMAID,EUROMAID,- EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,,1699,1699
,EUROMAID,EUROMAID,- EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,,505,505
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,,2803,2803
,EUROMAID,EUROMAID,- EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,,1699,1699
,EUROMAID,EUROMAID,- EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,,299,299
,EUROMAID,EUROMAID,- EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,EUROMAID,EUROMAID,EUROMAID PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,,2597,2597
,EUROMAID,EUROMAID,EUROMAID 900MM CANOPY RANGEHOOD OPTION - EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,,505,505
,EUROMAID,EUROMAID,EUROMAID 900MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,,299,299
,EUROMAID,EUROMAID,EUROMAID DISHWASHER OPTION - EUROMAID 60CM DISHWASHER EDW14S,EACH,,599,599
,,,,,,,
,,,,,,,
,OMEGA,OMEGA,,,,,
,OMEGA,OMEGA,OMEGA PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,2996,2996
,OMEGA,OMEGA,- OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,,599,599
,OMEGA,OMEGA,- OMEGA 60CM INDUCTION COOKTOP OCI64Z,EACH,,899,899
,OMEGA,OMEGA,- OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,,299,299
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
