pack_id,pack_source_row_id,brand,pack_name,pack_price,component_product_id,component_source_row_id,component_family,contains_oven,contains_cooktop,contains_rangehood,contains_dishwasher,contains_microwave,contains_refrigerator,contains_freestanding_cooker,contains_other_appliance_component,unresolved_component_families
pack:appliances:smeg:smeg-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1357,Smeg,SMEG PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,10096,product:appliances:dishwashers:smeg:dwau6315x3,1361,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1362,Smeg,SMEG PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,8796,product:appliances:freestanding-cookers:smeg:fs9606as-1,1363,freestanding-cookers,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:smeg:smeg-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1362,Smeg,SMEG PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,8796,product:appliances:rangehoods:smeg:shw910x2,1364,rangehoods,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:smeg:smeg-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1362,Smeg,SMEG PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,8796,product:appliances:dishwashers:smeg:dwau6315x3,1365,dishwashers,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1366,Smeg,SMEG PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,6039,product:appliances:freestanding-cookers:smeg:fs9606as-1,1367,freestanding-cookers,false,false,true,true,false,false,true,false,
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1366,Smeg,SMEG PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,6039,product:appliances:rangehoods:smeg:pum901x,1368,rangehoods,false,false,true,true,false,false,true,false,
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1366,Smeg,SMEG PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,6039,product:appliances:dishwashers:smeg:dwau6315x3,1369,dishwashers,false,false,true,true,false,false,true,false,
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1370,Smeg,SMEG PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,5788,product:appliances:rangehoods:smeg:shw910x2,1371,rangehoods,false,false,true,true,false,false,true,false,freestanding-cookers
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1370,Smeg,SMEG PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,5788,product:appliances:rangehoods:smeg:pum901x,1372,rangehoods,false,false,true,true,false,false,true,false,freestanding-cookers
pack:appliances:smeg:smeg-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1370,Smeg,SMEG PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,5788,product:appliances:dishwashers:smeg:dwau6315x3,1373,dishwashers,false,false,true,true,false,false,true,false,freestanding-cookers
